gene_id	seqid	strand	biotype	name	description
ENSSSAG00000000002	MT	.	Mt_tRNA		
ENSSSAG00000000003	MT	.	Mt_rRNA		
ENSSSAG00000000004	MT	.	Mt_tRNA		
ENSSSAG00000000005	MT	.	Mt_rRNA		
ENSSSAG00000000006	MT	.	Mt_tRNA		
ENSSSAG00000000007	MT	.	protein_coding	ND1	NADH dehydrogenase subunit 1 [Source:NCBI gene%3BAcc:808311]
ENSSSAG00000000008	MT	.	Mt_tRNA		
ENSSSAG00000000009	MT	.	Mt_tRNA		
ENSSSAG00000000010	MT	.	Mt_tRNA		
ENSSSAG00000000011	MT	.	protein_coding	ND2	NADH dehydrogenase subunit 2 [Source:NCBI gene%3BAcc:808316]
ENSSSAG00000000012	MT	.	Mt_tRNA		
ENSSSAG00000000013	MT	.	Mt_tRNA		
ENSSSAG00000000014	MT	.	Mt_tRNA		
ENSSSAG00000000015	MT	.	Mt_tRNA		
ENSSSAG00000000016	MT	.	Mt_tRNA		
ENSSSAG00000000017	MT	.	protein_coding	COX1	cytochrome c oxidase subunit I [Source:NCBI gene%3BAcc:808314]
ENSSSAG00000000018	MT	.	Mt_tRNA		
ENSSSAG00000000019	MT	.	Mt_tRNA		
ENSSSAG00000000020	MT	.	protein_coding	COX2	cytochrome c oxidase subunit II [Source:NCBI gene%3BAcc:808315]
ENSSSAG00000000021	MT	.	Mt_tRNA		
ENSSSAG00000000022	MT	.	protein_coding	ATP8	ATP synthase F0 subunit 8 [Source:NCBI gene%3BAcc:808310]
ENSSSAG00000000025	MT	.	Mt_tRNA		
ENSSSAG00000000026	MT	.	protein_coding	ND3	NADH dehydrogenase subunit 3 [Source:NCBI gene%3BAcc:808308]
ENSSSAG00000000027	MT	.	Mt_tRNA		
ENSSSAG00000000028	MT	.	protein_coding	ND4L	NADH dehydrogenase subunit 4L [Source:NCBI gene%3BAcc:808312]
ENSSSAG00000000029	MT	.	protein_coding	ND4	NADH dehydrogenase subunit 4 [Source:NCBI gene%3BAcc:808305]
ENSSSAG00000000030	MT	.	Mt_tRNA		
ENSSSAG00000000031	MT	.	Mt_tRNA		
ENSSSAG00000000032	MT	.	Mt_tRNA		
ENSSSAG00000000033	MT	.	protein_coding	ND5	NADH dehydrogenase subunit 5 [Source:NCBI gene%3BAcc:808309]
ENSSSAG00000000034	MT	.	protein_coding	ND6	NADH dehydrogenase subunit 6 [Source:NCBI gene%3BAcc:808317]
ENSSSAG00000000035	MT	.	Mt_tRNA		
ENSSSAG00000000036	MT	.	protein_coding	CYTB	cytochrome b [Source:NCBI gene%3BAcc:808306]
ENSSSAG00000000037	MT	.	Mt_tRNA		
ENSSSAG00000000038	MT	.	Mt_tRNA		
ENSSSAG00000000074	ssa01	.	lncRNA		
ENSSSAG00000000076	ssa01	.	pseudogene		
ENSSSAG00000000084	ssa01	.	pseudogene		
ENSSSAG00000000088	ssa01	.	lncRNA		
ENSSSAG00000000098	ssa01	.	protein_coding		
ENSSSAG00000000101	ssa01	.	lncRNA		
