feature	annA	geneA	txA	annB	geneB	txB	stats
gene	ann1	gene:ENSSSAG00075002040	.	ann2	gene:ENSSSAG00000088399	.	best_coding=Red;best_jaccard_cds_phase=0.0000;best_jaccard_exon=0.6374;best_noncoding=NotMapped;class=Red;class_initial=Red;exon_union_bp=15571;overlap_bp=2570;partner_countA=1;partner_countB=1;strand_match=1
gene	ann1	gene:ENSSSAG00075003348	.	ann2	gene:ENSSSAG00000103107	.	best_coding=Yellow;best_jaccard_cds_phase=0.8984;best_jaccard_exon=0.4710;best_noncoding=NotMapped;class=Yellow;class_initial=Yellow;exon_union_bp=15614;note_split_or_merge_B=3;overlap_bp=3700;partner_countA=1;partner_countB=3;strand_match=1
gene	ann1	gene:ENSSSAG00075002013	.	ann2	gene:ENSSSAG00000103107	.	best_coding=Red;best_jaccard_cds_phase=0.0000;best_jaccard_exon=0.4000;best_noncoding=NotMapped;class=Red;class_initial=Red;exon_union_bp=15691;note_split_or_merge_B=3;overlap_bp=3753;partner_countA=1;partner_countB=3;strand_match=1
gene	ann1	gene:ENSSSAG00075002056	.	ann2	gene:ENSSSAG00000103107	.	best_coding=Red;best_jaccard_cds_phase=0.1701;best_jaccard_exon=0.1239;best_noncoding=NotMapped;class=Red;class_initial=Red;exon_union_bp=16340;note_split_or_merge_B=3;overlap_bp=880;partner_countA=1;partner_countB=3;strand_match=1
gene	ann1	gene:ENSSSAG00075002066	.	ann2	gene:ENSSSAG00000000063	.	best_coding=Green;best_jaccard_cds_phase=1.0000;best_jaccard_exon=0.9294;best_noncoding=NotMapped;class=Green;class_initial=Green;exon_union_bp=2619;overlap_bp=1785;partner_countA=1;partner_countB=1;strand_match=1
gene	ann1	gene:ENSSSAG00075002097	.	ann2	gene:ENSSSAG00000110109	.	best_coding=Yellow;best_jaccard_cds_phase=0.5378;best_jaccard_exon=0.6525;best_noncoding=NotMapped;class=Yellow;class_initial=Yellow;exon_union_bp=2907;overlap_bp=1874;partner_countA=1;partner_countB=1;strand_match=1
gene	ann1	gene:ENSSSAG00075002107	.	ann2	gene:ENSSSAG00000000049	.	best_coding=Green;best_jaccard_cds_phase=1.0000;best_jaccard_exon=0.6439;best_noncoding=NotMapped;class=Green;class_initial=Green;exon_union_bp=4409;overlap_bp=2839;partner_countA=1;partner_countB=1;strand_match=1
gene	ann1	gene:ENSSSAG00075002118	.	ann2	gene:ENSSSAG00000101513	.	best_coding=Green;best_jaccard_cds_phase=1.0000;best_jaccard_exon=0.7984;best_noncoding=NotMapped;class=Green;class_initial=Green;exon_union_bp=2660;overlap_bp=1417;partner_countA=1;partner_countB=1;strand_match=1
gene	ann1	gene:ENSSSAG00075002130	.	ann2	gene:ENSSSAG00000000051	.	best_coding=Red;best_jaccard_cds_phase=0.0749;best_jaccard_exon=0.7120;best_noncoding=NotMapped;class=Red;class_initial=Red;exon_union_bp=3738;overlap_bp=2126;partner_countA=1;partner_countB=1;strand_match=1
gene	ann1	gene:ENSSSAG00075002143	.	ann2	gene:ENSSSAG00000000052	.	best_coding=Green;best_jaccard_cds_phase=1.0000;best_jaccard_exon=0.9239;best_noncoding=NotMapped;class=Green;class_initial=Green;exon_union_bp=4811;overlap_bp=1475;partner_countA=1;partner_countB=1;strand_match=1
gene	ann1	gene:ENSSSAG00075002153	.	ann2	gene:ENSSSAG00000098245	.	best_coding=Green;best_jaccard_cds_phase=1.0000;best_jaccard_exon=0.5089;best_noncoding=NotMapped;class=Green;class_initial=Green;exon_union_bp=7671;overlap_bp=2826;partner_countA=1;partner_countB=1;strand_match=1
