feature	annA	geneA	txA	annB	geneB	txB	stats
gene	ens_lift	gene:ENSSSAG00000000063	.	ens_native	gene:ENSSSAG00000000063	.	best_coding=Yellow;best_jaccard_cds_phase=0.6155;best_jaccard_exon=0.5078;best_noncoding=NotMapped;class=Yellow;class_initial=Yellow;exon_union_bp=2957;overlap_bp=1170;partner_countA=1;partner_countB=1;strand_match=1
gene	ens_lift	gene:ENSSSAG00000000049	.	ens_native	gene:ENSSSAG00000000049	.	best_coding=Yellow;best_jaccard_cds_phase=0.8955;best_jaccard_exon=0.4553;best_noncoding=NotMapped;class=Yellow;class_initial=Yellow;exon_union_bp=5364;overlap_bp=2442;partner_countA=1;partner_countB=1;strand_match=1
gene	ens_lift	gene:ENSSSAG00000000050	.	ens_native	gene:ENSSSAG00000101513	.	best_coding=Green;best_jaccard_cds_phase=1.0000;best_jaccard_exon=0.6673;best_noncoding=NotMapped;class=Green;class_initial=Green;exon_union_bp=2660;overlap_bp=672;partner_countA=1;partner_countB=1;strand_match=1
gene	ens_lift	gene:ENSSSAG00000000051	.	ens_native	gene:ENSSSAG00000000051	.	best_coding=Yellow;best_jaccard_cds_phase=0.6547;best_jaccard_exon=0.6455;best_noncoding=NotMapped;class=Yellow;class_initial=Yellow;exon_union_bp=5087;overlap_bp=1686;partner_countA=1;partner_countB=1;strand_match=1
gene	ens_lift	gene:ENSSSAG00000000052	.	ens_native	gene:ENSSSAG00000000052	.	best_coding=Green;best_jaccard_cds_phase=1.0000;best_jaccard_exon=0.6196;best_noncoding=NotMapped;class=Green;class_initial=Green;exon_union_bp=4811;overlap_bp=2855;partner_countA=1;partner_countB=1;strand_match=1
gene	ens_lift	gene:ENSSSAG00000000053	.	ens_native	gene:ENSSSAG00000098245	.	best_coding=Yellow;best_jaccard_cds_phase=0.4639;best_jaccard_exon=0.2145;best_noncoding=NotMapped;class=Yellow;class_initial=Yellow;exon_union_bp=7697;overlap_bp=1158;partner_countA=1;partner_countB=1;strand_match=1
gene	ens_lift	gene:ENSSSAG00000000057	.	ens_native	gene:ENSSSAG00000000057	.	best_coding=Green;best_jaccard_cds_phase=1.0000;best_jaccard_exon=1.0000;best_noncoding=NotMapped;class=Green;class_initial=Green;exon_union_bp=3007;overlap_bp=2946;partner_countA=1;partner_countB=1;strand_match=1
gene	ens_lift	gene:ENSSSAG00000000058	.	ens_native	gene:ENSSSAG00000083486	.	best_coding=Yellow;best_jaccard_cds_phase=0.4761;best_jaccard_exon=0.2475;best_noncoding=NotMapped;class=Yellow;class_initial=Yellow;exon_union_bp=9984;overlap_bp=1834;partner_countA=1;partner_countB=1;strand_match=1
gene	ens_lift	gene:ENSSSAG00000000055	.	ens_native	gene:ENSSSAG00000000055	.	best_coding=Green;best_jaccard_cds_phase=1.0000;best_jaccard_exon=0.7633;best_noncoding=NotMapped;class=Green;class_initial=Green;exon_union_bp=1639;overlap_bp=1251;partner_countA=1;partner_countB=1;strand_match=1
gene	ens_lift	gene:ENSSSAG00000000056	.	ens_native	gene:ENSSSAG00000088197	.	best_coding=Red;best_jaccard_cds_phase=0.3173;best_jaccard_exon=0.1266;best_noncoding=NotMapped;class=Red;class_initial=Red;exon_union_bp=5166;overlap_bp=654;partner_countA=1;partner_countB=1;strand_match=1
gene	ens_lift	gene:ENSSSAG00000063772	.	ens_native	gene:ENSSSAG00000110187	.	best_coding=Red;best_jaccard_cds_phase=0.0000;best_jaccard_exon=0.4742;best_noncoding=NotMapped;class=Red;class_initial=Red;exon_union_bp=7490;overlap_bp=2346;partner_countA=1;partner_countB=1;strand_match=1
gene	ens_lift	gene:ENSSSAG00000000046	.	ens_native	gene:ENSSSAG00000090551	.	best_coding=Yellow;best_jaccard_cds_phase=0.5007;best_jaccard_exon=0.3462;best_noncoding=NotMapped;class=Yellow;class_initial=Yellow;exon_union_bp=3228;overlap_bp=449;partner_countA=1;partner_countB=1;strand_match=1
gene	ens_lift	gene:ENSSSAG00000000044	.	ens_native	gene:ENSSSAG00000000044	.	best_coding=Red;best_jaccard_cds_phase=0.3090;best_jaccard_exon=0.4418;best_noncoding=NotMapped;class=Red;class_initial=Red;exon_union_bp=4153;overlap_bp=1613;partner_countA=1;partner_countB=1;strand_match=1
gene	ens_lift	gene:ENSSSAG00000055544	.	ens_native	gene:ENSSSAG00000044034	.	best_coding=Red;best_jaccard_cds_phase=0.0000;best_jaccard_exon=0.1492;best_noncoding=NotMapped;class=Red;class_initial=Red;exon_union_bp=2328;overlap_bp=142;partner_countA=1;partner_countB=1;strand_match=1
gene	ens_lift	gene:ENSSSAG00000000043	.	ens_native	gene:ENSSSAG00000063772	.	best_coding=Red;best_jaccard_cds_phase=0.0000;best_jaccard_exon=0.1288;best_noncoding=NotMapped;class=Red;class_initial=Red;exon_union_bp=5193;overlap_bp=499;partner_countA=1;partner_countB=1;strand_match=1
gene	ens_lift	gene:ENSSSAG00000001017	.	ens_native	gene:ENSSSAG00000001017	.	best_coding=Yellow;best_jaccard_cds_phase=0.9734;best_jaccard_exon=0.7149;best_noncoding=NotMapped;class=Yellow;class_initial=Yellow;exon_union_bp=1257;note_split_or_merge_A=2;overlap_bp=815;partner_countA=2;partner_countB=1;strand_match=1
gene	ens_lift	gene:ENSSSAG00000001017	.	ens_native	gene:ENSSSAG00000114841	.	antisense_overlap=0.1646;class=NotMapped;class_initial=NotMapped;exon_union_bp=4538;note_antisense_conflict=1;note_split_or_merge_A=2;overlap_bp=747;partner_countA=2;partner_countB=1;strand_match=0
gene	ens_lift	gene:ENSSSAG00000000041	.	ens_native	gene:ENSSSAG00000000041	.	best_coding=Green;best_jaccard_cds_phase=1.0000;best_jaccard_exon=0.6604;best_noncoding=NotMapped;class=Green;class_initial=Green;exon_union_bp=2008;overlap_bp=1326;partner_countA=1;partner_countB=1;strand_match=1
gene	ens_lift	gene:ENSSSAG00000000047	.	ens_native	gene:ENSSSAG00000086702	.	best_coding=Green;best_jaccard_cds_phase=1.0000;best_jaccard_exon=0.2220;best_noncoding=NotMapped;class=Green;class_initial=Green;exon_union_bp=3576;overlap_bp=794;partner_countA=1;partner_countB=1;strand_match=1
gene	ens_lift	gene:ENSSSAG00000000048	.	ens_native	gene:ENSSSAG00000000048	.	best_coding=Yellow;best_jaccard_cds_phase=0.6768;best_jaccard_exon=0.7975;best_noncoding=NotMapped;class=Yellow;class_initial=Yellow;exon_union_bp=4963;overlap_bp=1488;partner_countA=1;partner_countB=1;strand_match=1
gene	ens_lift	gene:ENSSSAG00000000040	.	ens_native	gene:ENSSSAG00000000040	.	best_coding=Yellow;best_jaccard_cds_phase=0.8939;best_jaccard_exon=0.8939;best_noncoding=NotMapped;class=Yellow;class_initial=Yellow;exon_union_bp=4162;note_split_or_merge_A=2;overlap_bp=3529;partner_countA=2;partner_countB=1;strand_match=1
