feature	annA	geneA	txA	annB	geneB	txB	stats
gene	Ensembl	gene:ENSSSAG00000096644	.	Liftoff	gene:ENSSSAG00000077510	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=0;exon_bp_A=3233;exon_bp_B=1049;exon_bp_overlap=771;gene_bp_overlap=4571;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000096644	transcript:ENSSSAT00000177260	Liftoff	gene:ENSSSAG00000077510	transcript:ENSSSAT00000143756	exonsA=5;exonsB=6;match_exons=4;intronsA=4;intronsB=5;match_introns=4;bpA=3233;bpB=1049;bp_overlap=771;cds_bpA=696;cds_bpB=696;cds_bp_overlap_same_phase=696
gene	Ensembl	gene:ENSSSAG00000116092	.	Liftoff	gene:ENSSSAG00000077491	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=0;exon_bp_A=9833;exon_bp_B=2021;exon_bp_overlap=1450;gene_bp_overlap=50373;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000116092	transcript:ENSSSAT00000212336	Liftoff	gene:ENSSSAG00000077491	transcript:ENSSSAT00000143725	exonsA=8;exonsB=4;match_exons=2;intronsA=7;intronsB=3;match_introns=2;bpA=9833;bpB=2021;bp_overlap=1450;cds_bpA=1173;cds_bpB=1173;cds_bp_overlap_same_phase=1173
gene	Ensembl	gene:ENSSSAG00000116092	.	Liftoff	gene:ENSSSAG00000077502	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=0;exon_bp_A=9833;exon_bp_B=816;exon_bp_overlap=816;gene_bp_overlap=1803;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000116092	transcript:ENSSSAT00000212336	Liftoff	gene:ENSSSAG00000077502	transcript:ENSSSAT00000143743	exonsA=8;exonsB=2;match_exons=0;intronsA=7;intronsB=1;match_introns=1;bpA=9833;bpB=816;bp_overlap=816;cds_bpA=1173;cds_bpB=714;cds_bp_overlap_same_phase=0
gene	Ensembl	gene:ENSSSAG00000116092	.	Liftoff	gene:ENSSSAG00000077496	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=0;exon_bp_A=9833;exon_bp_B=1581;exon_bp_overlap=476;gene_bp_overlap=2072;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000116092	transcript:ENSSSAT00000212336	Liftoff	gene:ENSSSAG00000077496	transcript:ENSSSAT00000143735	exonsA=8;exonsB=2;match_exons=0;intronsA=7;intronsB=1;match_introns=1;bpA=9833;bpB=1581;bp_overlap=476;cds_bpA=1173;cds_bpB=717;cds_bp_overlap_same_phase=0
gene	Ensembl	gene:ENSSSAG00000077504	.	Liftoff	gene:ENSSSAG00000077504	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=1;exon_bp_A=1348;exon_bp_B=1348;exon_bp_overlap=1348;gene_bp_overlap=1898;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000077504	transcript:ENSSSAT00000143752	Liftoff	gene:ENSSSAG00000077504	transcript:ENSSSAT00000143752	exonsA=2;exonsB=2;match_exons=2;intronsA=1;intronsB=1;match_introns=1;bpA=1348;bpB=1348;bp_overlap=1348;cds_bpA=810;cds_bpB=810;cds_bp_overlap_same_phase=810
gene	Ensembl	gene:ENSSSAG00000077484	.	Liftoff	gene:ENSSSAG00000077484	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=1;exon_bp_A=1275;exon_bp_B=1275;exon_bp_overlap=1275;gene_bp_overlap=2593;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000077484	transcript:ENSSSAT00000143720	Liftoff	gene:ENSSSAG00000077484	transcript:ENSSSAT00000143720	exonsA=2;exonsB=2;match_exons=2;intronsA=1;intronsB=1;match_introns=1;bpA=1275;bpB=1275;bp_overlap=1275;cds_bpA=759;cds_bpB=759;cds_bp_overlap_same_phase=759
gene	Ensembl	gene:ENSSSAG00000077481	.	Liftoff	gene:ENSSSAG00000077481	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=0;exon_bp_A=1209;exon_bp_B=1200;exon_bp_overlap=1200;gene_bp_overlap=2280;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000077481	transcript:ENSSSAT00000143708	Liftoff	gene:ENSSSAG00000077481	transcript:ENSSSAT00000143708	exonsA=2;exonsB=2;match_exons=1;intronsA=1;intronsB=1;match_introns=1;bpA=1209;bpB=1200;bp_overlap=1200;cds_bpA=819;cds_bpB=819;cds_bp_overlap_same_phase=819
gene	Ensembl	gene:ENSSSAG00000077476	.	Liftoff	gene:ENSSSAG00000077476	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=0;exon_bp_A=1374;exon_bp_B=1323;exon_bp_overlap=1323;gene_bp_overlap=3464;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000077476	transcript:ENSSSAT00000143702	Liftoff	gene:ENSSSAG00000077476	transcript:ENSSSAT00000143702	exonsA=2;exonsB=2;match_exons=1;intronsA=1;intronsB=1;match_introns=1;bpA=1374;bpB=1323;bp_overlap=1323;cds_bpA=1035;cds_bpB=1035;cds_bp_overlap_same_phase=1035
gene	Ensembl	gene:ENSSSAG00000077471	.	Liftoff	gene:ENSSSAG00000077471	.	txA=1;txB=2;overlap_tx_pairs=2;matching_tx_pairs=0;exon_bp_A=1319;exon_bp_B=1098;exon_bp_overlap=958;gene_bp_overlap=10393;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000077471	transcript:ENSSSAT00000143686	Liftoff	gene:ENSSSAG00000077471	transcript:ENSSSAT00000143686	exonsA=4;exonsB=3;match_exons=2;intronsA=3;intronsB=2;match_introns=2;bpA=1319;bpB=958;bp_overlap=958;cds_bpA=858;cds_bpB=858;cds_bp_overlap_same_phase=858
transcript	Ensembl	gene:ENSSSAG00000077471	transcript:ENSSSAT00000143686	Liftoff	gene:ENSSSAG00000077471	transcript:ENSSSAT00000143692	exonsA=4;exonsB=2;match_exons=1;intronsA=3;intronsB=1;match_introns=1;bpA=1319;bpB=1074;bp_overlap=934;cds_bpA=858;cds_bpB=924;cds_bp_overlap_same_phase=834
gene	Ensembl	gene:ENSSSAG00000077464	.	Liftoff	gene:ENSSSAG00000077464	.	txA=1;txB=1;overlap_tx_pairs=1;matching_tx_pairs=1;exon_bp_A=1030;exon_bp_B=1030;exon_bp_overlap=1030;gene_bp_overlap=1999;strand_match=1
transcript	Ensembl	gene:ENSSSAG00000077464	transcript:ENSSSAT00000143673	Liftoff	gene:ENSSSAG00000077464	transcript:ENSSSAT00000143673	exonsA=2;exonsB=2;match_exons=2;intronsA=1;intronsB=1;match_introns=1;bpA=1030;bpB=1030;bp_overlap=1030;cds_bpA=855;cds_bpB=855;cds_bp_overlap_same_phase=855
