gene_id	worst_effect
ENSSSAG00000036185	inframe_deletion
ENSSSAG00000049928	stop_gained
ENSSSAG00000039474	unmapped
ENSSSAG00000000063	frameshift
ENSSSAG00000000049	inframe_deletion
ENSSSAG00000000050	identical
ENSSSAG00000000051	inframe_deletion
ENSSSAG00000000052	identical
ENSSSAG00000000053	nonsynonymous
ENSSSAG00000000057	synonymous
ENSSSAG00000000058	frameshift
ENSSSAG00000000055	identical
ENSSSAG00000000056	frameshift
ENSSSAG00000000042	nonsynonymous
ENSSSAG00000063772	start_lost
ENSSSAG00000000046	inframe_deletion
ENSSSAG00000000044	frameshift
ENSSSAG00000000045	nonsynonymous
ENSSSAG00000055544	start_lost
ENSSSAG00000000043	start_lost
ENSSSAG00000001017	nonsynonymous
ENSSSAG00000000041	nonsynonymous
ENSSSAG00000000039	identical
ENSSSAG00000000047	inframe_insertion
ENSSSAG00000000048	frameshift
ENSSSAG00000000040	inframe_deletion
ENSSSAG00000035733	start_lost
ENSSSAG00000000059	frameshift
ENSSSAG00000000060	frameshift
ENSSSAG00000000062	frameshift
ENSSSAG00000000061	frameshift
ENSSSAG00000061275	inframe_deletion
ENSSSAG00000061282	inframe_insertion
ENSSSAG00000000064	start_lost
ENSSSAG00000000066	frameshift
ENSSSAG00000000067	frameshift
ENSSSAG00000000068	synonymous
ENSSSAG00000000092	nonsynonymous
ENSSSAG00000014916	nonsynonymous
ENSSSAG00000000069	nonsynonymous
ENSSSAG00000000073	identical
ENSSSAG00000000071	inframe_insertion
ENSSSAG00000000072	synonymous
ENSSSAG00000000070	identical
ENSSSAG00000000091	inframe_deletion
ENSSSAG00000000090	stop_gained
ENSSSAG00000000089	identical
ENSSSAG00000000086	3'_truncated
ENSSSAG00000000087	nonsynonymous
ENSSSAG00000000085	synonymous
ENSSSAG00000000083	identical
ENSSSAG00000000082	frameshift
ENSSSAG00000000081	frameshift
ENSSSAG00000055921	frameshift
ENSSSAG00000000080	inframe_deletion
ENSSSAG00000000079	synonymous
ENSSSAG00000000078	identical
ENSSSAG00000000093	identical
ENSSSAG00000000077	frameshift
ENSSSAG00000000075	frameshift
ENSSSAG00000000096	identical
ENSSSAG00000000097	identical
ENSSSAG00000000099	5'_truncated
ENSSSAG00000000100	synonymous
ENSSSAG00000051995	frameshift
ENSSSAG00000053910	inframe_insertion
ENSSSAG00000000094	synonymous
ENSSSAG00000057703	frameshift
ENSSSAG00000057698	identical
ENSSSAG00000057696	identical
ENSSSAG00000057680	inframe_deletion
ENSSSAG00000057694	frameshift
ENSSSAG00000057660	nonsynonymous
ENSSSAG00000057589	nonsynonymous
ENSSSAG00000057565	identical
ENSSSAG00000057551	frameshift
ENSSSAG00000057156	frameshift
ENSSSAG00000056846	stop_gained
ENSSSAG00000056816	identical
ENSSSAG00000055072	frameshift
ENSSSAG00000056802	stop_gained
ENSSSAG00000053917	inframe_deletion
ENSSSAG00000053952	identical
ENSSSAG00000053919	inframe_insertion
ENSSSAG00000053915	nonsynonymous
ENSSSAG00000033986	3'_truncated
ENSSSAG00000034068	identical
ENSSSAG00000036264	inframe_deletion
ENSSSAG00000034367	identical
ENSSSAG00000058229	identical
ENSSSAG00000034286	frameshift
ENSSSAG00000039639	frameshift
ENSSSAG00000070621	identical
ENSSSAG00000070629	3'_truncated
ENSSSAG00000070765	identical
ENSSSAG00000070769	frameshift
ENSSSAG00000070780	inframe_deletion
ENSSSAG00000034188	identical
ENSSSAG00000034982	identical
ENSSSAG00000034575	stop_gained
ENSSSAG00000034886	start_lost
ENSSSAG00000037181	start_lost
ENSSSAG00000035097	frameshift
ENSSSAG00000035519	frameshift
ENSSSAG00000035762	nonsynonymous
ENSSSAG00000057864	frameshift
ENSSSAG00000070782	inframe_insertion
ENSSSAG00000070788	nonsynonymous
ENSSSAG00000070793	frameshift
ENSSSAG00000070825	nonsynonymous
ENSSSAG00000070864	identical
ENSSSAG00000070896	identical
ENSSSAG00000070909	inframe_insertion
ENSSSAG00000070914	nonsynonymous
ENSSSAG00000070919	identical
ENSSSAG00000070930	identical
ENSSSAG00000070943	identical
ENSSSAG00000070995	identical
ENSSSAG00000071002	identical
ENSSSAG00000071009	nonsynonymous
ENSSSAG00000071029	identical
ENSSSAG00000071041	nonsynonymous
ENSSSAG00000071099	synonymous
ENSSSAG00000071762	identical
ENSSSAG00000071764	frameshift
ENSSSAG00000071767	frameshift
ENSSSAG00000071769	identical
ENSSSAG00000071771	frameshift
ENSSSAG00000071867	frameshift
ENSSSAG00000073681	5'_truncated
ENSSSAG00000073684	identical
ENSSSAG00000073686	identical
ENSSSAG00000073694	frameshift
ENSSSAG00000073720	identical
ENSSSAG00000073722	identical
ENSSSAG00000073725	identical
ENSSSAG00000073729	identical
ENSSSAG00000073732	nonsynonymous
ENSSSAG00000073734	nonsynonymous
ENSSSAG00000073913	frameshift
ENSSSAG00000078331	synonymous
ENSSSAG00000078349	identical
ENSSSAG00000078353	identical
ENSSSAG00000078358	identical
ENSSSAG00000078367	identical
ENSSSAG00000078395	nonsynonymous
ENSSSAG00000078509	identical
ENSSSAG00000078513	identical
ENSSSAG00000078528	identical
ENSSSAG00000078627	identical
ENSSSAG00000078632	nonsynonymous
ENSSSAG00000078685	identical
ENSSSAG00000078693	synonymous
ENSSSAG00000078738	synonymous
ENSSSAG00000078981	identical
ENSSSAG00000078984	identical
ENSSSAG00000000276	frameshift
ENSSSAG00000000435	identical
ENSSSAG00000000443	inframe_deletion
ENSSSAG00000000460	nonsynonymous
ENSSSAG00000000480	nonsynonymous
ENSSSAG00000000511	identical
ENSSSAG00000000545	identical
ENSSSAG00000000559	nonsynonymous
ENSSSAG00000000568	frameshift
ENSSSAG00000000581	synonymous
ENSSSAG00000000593	nonsynonymous
ENSSSAG00000000627	identical
ENSSSAG00000000657	identical
ENSSSAG00000000682	identical
ENSSSAG00000000701	frameshift
ENSSSAG00000001145	frameshift
ENSSSAG00000005653	identical
ENSSSAG00000005797	identical
ENSSSAG00000008499	identical
ENSSSAG00000052459	identical
ENSSSAG00000008511	identical
ENSSSAG00000008524	identical
ENSSSAG00000008530	identical
ENSSSAG00000008543	identical
ENSSSAG00000061074	identical
ENSSSAG00000078344	identical
ENSSSAG00000007321	unmapped
ENSSSAG00000008550	inframe_deletion
ENSSSAG00000008558	nonsynonymous
ENSSSAG00000008561	identical
ENSSSAG00000008568	identical
ENSSSAG00000008574	identical
ENSSSAG00000008582	identical
ENSSSAG00000008598	synonymous
ENSSSAG00000008623	identical
ENSSSAG00000008631	identical
ENSSSAG00000008636	nonsynonymous
ENSSSAG00000008676	synonymous
ENSSSAG00000008822	stop_gained
ENSSSAG00000008979	identical
ENSSSAG00000009047	identical
ENSSSAG00000009184	identical
ENSSSAG00000009205	synonymous
ENSSSAG00000009217	nonsynonymous
ENSSSAG00000009232	nonsynonymous
ENSSSAG00000009249	identical
ENSSSAG00000009278	frameshift
ENSSSAG00000009295	identical
ENSSSAG00000009327	synonymous
ENSSSAG00000009346	identical
ENSSSAG00000059182	frameshift
ENSSSAG00000009375	nonsynonymous
ENSSSAG00000009411	nonsynonymous
ENSSSAG00000009436	identical
ENSSSAG00000009452	nonsynonymous
ENSSSAG00000009517	identical
ENSSSAG00000009525	identical
ENSSSAG00000009614	frameshift
ENSSSAG00000015556	synonymous
ENSSSAG00000015644	identical
ENSSSAG00000015656	identical
ENSSSAG00000015684	synonymous
ENSSSAG00000015918	nonsynonymous
ENSSSAG00000015975	identical
ENSSSAG00000016007	nonsynonymous
ENSSSAG00000019460	nonsynonymous
ENSSSAG00000047979	identical
ENSSSAG00000048018	frameshift
ENSSSAG00000048023	identical
ENSSSAG00000048029	identical
ENSSSAG00000048046	identical
ENSSSAG00000048071	inframe_deletion
ENSSSAG00000048107	identical
ENSSSAG00000048356	synonymous
ENSSSAG00000055885	frameshift
ENSSSAG00000056052	frameshift
ENSSSAG00000057740	inframe_insertion
ENSSSAG00000063098	identical
ENSSSAG00000063114	identical
ENSSSAG00000063117	frameshift
ENSSSAG00000063122	identical
ENSSSAG00000034115	nonsynonymous
ENSSSAG00000034349	identical
ENSSSAG00000034849	inframe_deletion
ENSSSAG00000039768	nonsynonymous
ENSSSAG00000039783	identical
ENSSSAG00000039798	identical
ENSSSAG00000040186	inframe_deletion
ENSSSAG00000054074	identical
ENSSSAG00000054082	synonymous
ENSSSAG00000054124	synonymous
ENSSSAG00000054450	identical
ENSSSAG00000054458	nonsynonymous
ENSSSAG00000054463	synonymous
ENSSSAG00000054469	frameshift
ENSSSAG00000054482	frameshift
ENSSSAG00000054485	identical
ENSSSAG00000054492	frameshift
ENSSSAG00000054498	identical
ENSSSAG00000054523	identical
ENSSSAG00000054720	identical
ENSSSAG00000055120	identical
ENSSSAG00000055131	identical
ENSSSAG00000000535	synonymous
ENSSSAG00000055740	frameshift
ENSSSAG00000055135	frameshift
ENSSSAG00000055136	synonymous
ENSSSAG00000055140	frameshift
ENSSSAG00000055167	frameshift
ENSSSAG00000055500	frameshift
ENSSSAG00000055756	frameshift
ENSSSAG00000055773	identical
ENSSSAG00000055804	frameshift
ENSSSAG00000055918	nonsynonymous
ENSSSAG00000056166	identical
ENSSSAG00000060024	identical
ENSSSAG00000056321	identical
ENSSSAG00000056327	frameshift
ENSSSAG00000056357	frameshift
ENSSSAG00000056399	identical
ENSSSAG00000056403	identical
ENSSSAG00000056408	identical
ENSSSAG00000056422	identical
ENSSSAG00000056432	identical
ENSSSAG00000056489	stop_gained
ENSSSAG00000061667	frameshift
ENSSSAG00000061686	nonsynonymous
ENSSSAG00000061751	synonymous
ENSSSAG00000061763	nonsynonymous
ENSSSAG00000061820	identical
ENSSSAG00000062942	frameshift
ENSSSAG00000068510	frameshift
ENSSSAG00000070245	frameshift
ENSSSAG00000070251	frameshift
ENSSSAG00000070264	identical
ENSSSAG00000070266	inframe_insertion
ENSSSAG00000070269	identical
ENSSSAG00000070272	nonsynonymous
ENSSSAG00000070283	synonymous
ENSSSAG00000071296	nonsynonymous
ENSSSAG00000071301	frameshift
ENSSSAG00000071306	nonsynonymous
ENSSSAG00000071310	synonymous
ENSSSAG00000071321	identical
ENSSSAG00000071348	identical
ENSSSAG00000071421	inframe_deletion
ENSSSAG00000071424	nonsynonymous
ENSSSAG00000071429	identical
ENSSSAG00000071433	identical
ENSSSAG00000071460	identical
ENSSSAG00000031150	frameshift
ENSSSAG00000071503	frameshift
ENSSSAG00000072565	frameshift
ENSSSAG00000072568	nonsynonymous
ENSSSAG00000072578	identical
ENSSSAG00000072636	identical
ENSSSAG00000072638	identical
ENSSSAG00000072642	frameshift
ENSSSAG00000072654	identical
ENSSSAG00000072655	nonsynonymous
ENSSSAG00000072665	identical
ENSSSAG00000072667	identical
ENSSSAG00000072670	identical
ENSSSAG00000072674	identical
ENSSSAG00000072677	nonsynonymous
ENSSSAG00000072714	frameshift
ENSSSAG00000073018	synonymous
ENSSSAG00000000114	identical
ENSSSAG00000000142	identical
ENSSSAG00000000151	identical
ENSSSAG00000062442	identical
ENSSSAG00000000813	start_lost
ENSSSAG00000001845	identical
ENSSSAG00000001849	identical
ENSSSAG00000001852	identical
ENSSSAG00000001865	identical
ENSSSAG00000001907	synonymous
ENSSSAG00000001930	identical
ENSSSAG00000001934	synonymous
